business_name,Address,Founded / Registration Date,Erloschen / Took possesion,Expiration Date
Heinrich Reizenstein,"Gerichtstr. 23,  Berlin",1935,1938,
Ismar Ksinski,"Gerichtstr. 23,  Berlin",1919,1938,
Brandt & Wittig,"Gerichtstr. 23,  Berlin",1902,1939,
Alpex-Gesellschaft Fabrik kosmetischer Präparate Katz u. Berent,"Gerichtstr. 27,  Berlin 
    
                                                                                          Elisabethstr. 36,  Berlin",1919,1939,
Gustav Huhn,"Germaniastr. 141/142,  Berlin",1918,,
Hüttenwerke Tempelhof A. Meyer,"Germaniastr. 141/42, 145/49,  Berlin",1902,1938,
Deutsche Orientteppich Import Gesellschaft Ernst Philipsborn & Co,"Gertraudenstr. 1/7,  Berlin",1923,1933,
Orient Teppich Import-Gesellschaft Ernst Philipsborn & Co,"Gertraudenstr. 1/7,  Berlin",1917,1939,
Rudolf Stein,"Gertraudenstr. 17/18,  Berlin",1912,1939,
David Caspari,"Gertraudenstr. 20,  Berlin",1919,1938,1939
E. Wulff & Cie,"Gertraudenstr. 20,  Berlin",1914,1941,
Wilhelm Angreß & Co,"Gertraudenstr. 23,  Berlin",1902,1938,
Wolfsohn & Neumann,"Gertraudenstr. 23,  Berlin",1918,1941,
H. & M. Jacobsohn,"Gertraudenstr. 24,  Berlin",1902,1939,1938
Deutsche Herrenwäsche-Fabriken Dornbusch & Co Berlin-Bielefeld,"Gertraudenstr. 24,  Berlin",1924,1935,
Louis Cohn II,"Gertraudenstr. 4/7,  Berlin",1903,1940,
Rheinhessische Weinhandlung Josef Schindler,"Gertraudenstr. 8,  Berlin",1930,1939,
Feuer & Levy,"Gertraudtenstr. 18/19,  Berlin",1921,1937,
Dagobert Wahlburg,"Gerviniusstr. 17,  Berlin",1912,1939,
Georg Issler,"Gerviniusstr. 8,  Berlin",1925,1938,
Herbert Nachemstein,"Gervinusstr. 11,  Berlin",1934,1938,1940
Robert Asch,"Gervinusstr. 12a,  Berlin",1908,1938,
Alfred Bornstein,"Gervinusstr. 13,  Berlin",1919,1939,
AG für Brennstoffvergasung,"Gervinusstr. 17/19,  Berlin",1917,1933,1934
Fritz Schwerin,"Gervinusstr. 19a,  Berlin",1925,1937,
Max Bukofzer Getreide Futtermittel,"Gervinusstr. 20,  Berlin",1926,1937,
Samuel Jacoby Textilvertretungen,"Gervinusstr. 20,  Berlin",1914,1940,
Selmar Salinger,"Gervinusstr. 22,  Berlin",1926,1938,
Julius Kochmann,"Gervinusstr. 5,  Berlin",1936,,
"Expreß, Reinigungsanstalt und Färberei Inhaberin Wilhelmine Rhonheimer","Gesellschaftsstr. 19,  Berlin",,,
Alfred Weinstok,"Giesebrechtstr.  22,  Berlin",,,
Baugeschäft Berger & Co,"Giesebrechtstr. 12,  Berlin",1925,1939,1939
Sally Mittwoch,"Giesebrechtstr. 18,  Berlin",1922,1937,
Georg Gassenheimer,"Giesebrechtstr. 18,  Berlin",1933,1939,
Schlesinger & Meyer,"Giesebrechtstr. 20,  Berlin",1917,1938,
Leo Schlesinger,"Gieseler Str. 16,  Berlin",1932,1938,1939
Alfred Wolfsohn,"Gieseler Str. 16,  Berlin",1919,1935,
Israel Tannenwald,"Gipsstr.  11,  Berlin",,,
H. Preetzmann,"Gipsstr.  12,  Berlin",,,
A. Chill & Co,Gipsstr. 11 Berlin,1921,1938,
Selmar Kaufmann GmbH,"Gipsstr. 11,  Berlin",1906,1938,1940
Isaak Silberbuch,"Gipsstr. 8,  Berlin",1915,1939,1940
Spandau & Schwerin,"Gitschiner Str. 106,  Berlin",1902,1938,
Brandenburgische Kreditbeschaffungs-Gesellschaft mbH,"Gitschiner Str. 107,  Berlin",1924,1934,
Gebr. Zucker,"Gitschiner Str. 61,  Berlin",1914,1937,
Energiadruck Leonid Schapiro,"Gitschiner Str. 91,  Berlin",1930,1937,
"Wellpappenwerke Hamburger und Fuchs GmbH, Zweigniederlassung Berlin","Glasower Str. 44/47,  Berlin",1916,1936,
Gebr. Lipcke,"Glasowstr. 68,  Berlin",1903,1940,
Leopold Rosenberg,"Gleditschstr.  22,  Berlin",,,
S. Karpmann,"Gleditschstr.  23,  Berlin",,,
Oscar Richter,"Gleditschstr.  32,  Berlin",,,
Betten-Hühn,"Gleditschstr.  47,  Berlin",,,
Leon Lew,"Gleditschstr. 26,  Berlin",1921,1938,
"Lustig, Ottilie","Gleditschstr. 28,  Berlin",,,
Egon Berlin,"Gleditschstr. 30,  Berlin",1920,1938,
"Heilbrunn, Werner und Helmuth Tischauer","Gleditschstr. 41,  Berlin",,,
Otto Spitzer,"Gleditschstr. 47,  Berlin",1908,1938,
"Lang, Martha","Gleditschstr. 60,  Berlin",,,
Abram Dreisiuk,"Gleimstr.  19,  Berlin",,,
Ernst Beier,"Gleimstr. 11,  Berlin",1911,1937,
Möbel Fröhlich Koppel Fröhlich,"Gleimstr. 15,  Berlin",1928,1938,
Warenhaus Julius Loewenberg Nachf.,"Gleimstr. 19,  Berlin",1901,1939,
Peisach Katz,"Gleimstr. 20,  Berlin",1916,1937,
Benno Walter & Co,"Gleimstr. 53,  Berlin",1923,1939,
Paul Ramlau,"Glienicker Str.  37,  Berlin",,,
Willy Eichstädt,"Glinicker Str.  18,  Berlin",,,
Moritz Breitenfeld,"Gneisenaustr.  105,  Berlin",,,
Elektro-Galvanisator-GmbH,"Gneisenaustr. 2,  Berlin",1919,1939,
Samuel Engel,"Gneisenaustr. 41,  Berlin",1908,1936,
Deutsche Photomaton AG,"Gneisenaustr. 44/45,  Berlin",1928,1933,1938
M. E. G. Maschinenfabrik Erich Gimpel,"Gneisenaustr. 44/45,  Berlin",1916,1938,
Chr. Rösler,"Gneisenaustr. 49,  Berlin",1902,1935,
Selma Ebstein,"Gneiststr.  3,  Berlin",,,
Emil Dammann & Co,"Gneiststr. 12,  Berlin",1906,,1938
Eugen Prokesz,"Goebenstr.  1,  Berlin",,,
"Jacoby, Fritz","Goebenstr. 24,  Berlin",,,
Leihhaus des Westens Ernst Oschinski,"Goebenstr. 31,  Berlin",1925,1937,
Apparate-Bau- und Vertriebsgesellschaft System Reisz GmbH,"Goebenstr. 38,  Berlin",1925,,
C. Zutraun & Co,"Goebenstr. 9,  Berlin",1900,1939,
H. & A. Rotholz,"Goethepark 16,  Berlin",1920,1932,
Richard Frey,"Goethestr.  2,  Berlin",,,
Willy Moser,"Goethestr.  37,  Berlin",,,
Warnecke & Böhm AG,"Goethestr. 16/19,  Berlin",1922,1933,1937
Siegfried Lipschütz,"Goethestr. 17a,  Berlin",1921,1938,
Birkle & Thomer,"Goethestr. 30,  Berlin",1900,1938,
Hans Gundermann,"Goethestr. 5,  Berlin",1938,1940,
Georg Glaser,"Goethestr. 60,  Berlin",1911,1936,1940
Emmo Lewy,"Goethestr. 87,  Berlin",1900,1934,
Abraham Auser,"Göhrener Str. 3,  Berlin",1922,1938,
Abraham Pommeranz,"Gollnowstr.  11,  Berlin",,,
Anna Haller,"Gollnowstr.  13,  Berlin",,,
Joseph Schaul,"Gollnowstr.  13,  Berlin",,,
Leib Kufert,"Gollnowstr.  13,  Berlin",,,
Pepi Leibowicz,"Gollnowstr.  13,  Berlin",,,
Israel Wahlfisch,"Gollnowstr.  17,  Berlin",,,
Norbert Kohlmann,"Gollnowstr.  20,  Berlin",,,
Wandel Lippowitz,"Gollnowstr.  25,  Berlin",,,
Hermann Bleiberg,"Gollnowstr.  27,  Berlin",,,
Leo Schwarzmann,"Gollnowstr.  27,  Berlin",,,
Ernst Popper,"Gollnowstr.  28,  Berlin",,,
Jacob Lindemann,"Gollnowstr.  28,  Berlin",,,
Lewi Fungerhut,"Gollnowstr.  29,  Berlin",,,
Olga Hecht,"Gollnowstr.  35,  Berlin",,,
Hirsch Machtinger,"Gollnowstr.  36,  Berlin",,,
Leopold Loewinsohn,"Gollnowstr.  36,  Berlin",,,
Karl Blattmann,"Gollnowstr.  38,  Berlin",,,
Wäscherei Köpke,"Gollnowstr.  4,  Berlin",,,
Leo Braun,"Gollnowstr.  46,  Berlin",,,
Markus Löwenthal,"Gollnowstr.  46,  Berlin",,,
I. Davidowicz,"Gollnowstr.  5,  Berlin",,,
Julius Weizenblüth,"Gollnowstr.  9,  Berlin",,,
Maiyor Frye,"Gollnowstr.  9,  Berlin",,,
Baruch May,"Gollnowstr. 13,  Berlin",1924,1939,1940
Hermann Ury,"Gollnowstr. 13,  Berlin",1925,1938,
J. Feige,"Gollnowstr. 13,  Berlin",1903,1939,
Ge-Ka Leiser Eliaschewitz,"Gollnowstr. 2,  Berlin",1936,1939,
Max Eger,"Gollnowstr. 43,  Berlin",1917,1938,
Cigarettenfabrik Corida Inhaber Adolf Scheidemann,"Gollnowstr. 44,  Berlin",1910,1936,
Manasse Hanfling gen. Burta,"Gollnowstr. 44,  Berlin",1916,1941,
Chemische Rohmaterialien Gesellschaft S. Rund & Co mbH,"Goltzstr. 18/21,  Berlin",1924,1933,1938
Alessinwerke Chemische Fabrik GmbH,"Goltzstr. 18/21,  Berlin",1923,1938,1938
"Flatow, Hermann","Goltzstr. 21, IV.,,  Berlin",,,
Wäschefabrikation am Winterfeldplatz Klara Dzialowski,"Goltzstr. 26,  Berlin",1925,1936,
"Borchardt, Selma","Goltzstr. 27,  Berlin",,,
Fa. Luckenwalderstraße 7 Grundstücksges. mbH,"Goltzstr. 27,  Berlin",,,
Fa. Zionskirchstr. 11 Grundstücksges. mbH,"Goltzstr. 27,  Berlin",,,
Häuserverwaltung Friedrich Mandelik,"Goltzstr. 27,  Berlin",,,
"Weserstr. 44 Grundstücksges. mbH, Gesch.-f. Frau Margarete Mandelitz","Goltzstr. 27,  Berlin",,,
Hans Katzenellenbogen,"Goltzstr. 37,  Berlin",1934,1938,1938
Berliner Fleisch-Centrale Neumann & Jacobsohn,"Gontardstr. 2,  Berlin",1905,1937,
Julius Sandmann & Co,"Gontardstr. 4,  Berlin",1911,1940,
M. Biermann,"Gontardstr. 5,  Berlin",1902,1938,1941
Hedwig Heymann,"Gontardstr. 5,  Berlin",1918,1939,
Schmelke Weber,"Gontardstr. k. A.,  Berlin",1922,1937,
"Wolf, Charlotte","Gontermannstr. 32,  Berlin",,,
Emil Lemke Kisten- und Holzwoll-GmbH,"Görlitzer Ufer 9,  Berlin",1931,1939,1940
Samuel Haasz,"Gormannstr. 1,  Berlin",1934,1939,
Rosenthal & Schey,"Gormannstr. 1/2,  Berlin",1907,1937,
Fritz und Erna Zwirn,"Goszlowskistr. 19,  Berlin",,,
Anton Honcek,"Gotenstr.  54,  Berlin",,,
"Joachim Koppel, Metallgießerei GmbH","Gottlieb-Dunkel-Str. 43/44,  Berlin",1930,1935,
"Emko, Eisen- und Metall-Kontor GmbH","Gottlieb-Dunkel-Str. 45,  Berlin",1922,1940,
Hessenberger,"Gotzkowskistr.  1,  Berlin",,,
Lipman Brandstätter,"Gotzkowskystr. 4,  Berlin",1916,1940,
R. Schramm & F. Wüste,"Gr. Frankfurter Str.  47,  Berlin",,,
Photohaus Schlesinger,"Gr. Frankfurter Str.  77,  Berlin",,,
A. Sylbertrest,"Gr. Hamburger Str.  34,  Berlin",,,
J. Volkowitz,"Gr. Hamburger Str.  40,  Berlin",,,
Ritscher GmbH,"Graefestr. 71,  Berlin",1928,1933,
Fritz Hamburger,"Graefestr. 90,  Berlin",1919,1938,1938
Süd-Ost Apotheke Benno Salinger,"Graetzstr. 11,  Berlin",1928,1937,
Berliner Öl- und Reifenvertrieb Josef Goldberg,"Graetzstr. 42/43,  Berlin",1937,1939,
Turbon Ventilatoren- und Apparatebau GmbH,"Graf-Roedern-Allee 1/2,  Berlin",1928,1934,
"F. Meyer, 1937: Martin Mayer","Gräfestr.  8,  Berlin",,,
Moritz Holz Bergwerks- und Hüttenprodukte,"Granitzstr. ,  Berlin",1919,1934,
Kurt Halpert Kartoffelgroßhandlung,"Graunstr. 28,  Berlin",1937,1941,
Simon Goldberger,"Greifenhagener Str.  6,  Berlin",,,
Norddeutsche Kunsthonig Max Holzer,"Greifenhagener Str. 37,  Berlin",1921,1936,
Sigmund Falkenstein,"Greifswalder Str.  162,  Berlin",,,
Daniel Moses,"Greifswalder Str.  190,  Berlin",,,
Kammerjäger Moses,"Greifswalder Str.  219,  Berlin",,,
Moritz Galberg,"Greifswalder Str.  228,  Berlin",,,
Hermann Barkowsky,"Greifswalder Str.  31,  Berlin",,,
Osias Goldstein,"Greifswalder Str.  38,  Berlin",,,
Eduard Glaser,"Greifswalder Str.  88,  Berlin",,,
Waco Schuhfabrik Walzer & Co,"Greifswalder Str. 13,  Berlin",1925,1939,
Walter Callmann,"Greifswalder Str. 140/141,  Berlin",1914,1939,1939
T. Steinberg,"Greifswalder Str. 140/141,  Berlin",1901,1938,
Dr. Philipp Hirsch,"Greifswalder Str. 140/141,  Berlin",1900,1939,
Olbrich & Co,"Greifswalder Str. 140/141,  Berlin",1932,1939,
Gesellschaft für Hausratsverwaltung und -verwertung für Mitglieder der jüdischen Gemeinden Deutschlands GmbH,"Greifswalder Str. 160/162,  Berlin",1934,1936,1937
Louis Lichtenstein,"Greifswalder Str. 190,  Berlin",1919,1938,1939
Benno Wolff,"Greifswalder Str. 204,  Berlin",1932,1939,
Cigarettenfabrik Problem Szlama Rochmann in Liqu.,"Greifswalder Str. 212,  Berlin",1903,1930,1935
Jean J. Heilbrunn,"Greifswalder Str. 224,  Berlin",1909,1939,
Alfred Marcus,"Greifswalder Str. 26/27,  Berlin",1910,1940,
Daveg Darmverarbeitungs GmbH,"Greifswalder Str. 30,  Berlin",1928,1938,1940
"Croner, Rosenthaler & Co","Greifswalder Str. 33a,  Berlin",1920,1938,
Sachs & Coper,"Greifswalder Str. 4,  Berlin",1912,1939,
Julius Friedländer Schokoladen- und Zuckerwaren en gros,"Greifswalder Str. 41/42,  Berlin",1928,1938,
Heinrich Jolles & Co,"Greifswalder Str. 5,  Berlin",1912,1938,
Paul Victor Stern,"Greifswalder Str. 7,  Berlin",,,
Hugo Meyer,"Greifswalder Str. 80,  Berlin",1938,1939,
Moses Bernstein,"Greifswalder Str. 81,  Berlin",1924,1938,
Richard Karo,"Greifswalder Str. 96,  Berlin",1936,1938,1940
Gebrüder Bratt GmbH,"Greifswalder Str. 96/98,  Berlin",1927,1938,1939
Leopold Isaac,"Grellstr.  40,  Berlin",,,
Herbert Eppenstein,"Grellstr.  56,  Berlin",,,
N. Beinowitz,"Grenadierstr.  2,  Berlin",,,
Julius Loewenthal,"Grenadierstr.  43,  Berlin",,,
"B. Schreiber, in Firma  Frauenstolz","Grenadierstr.  5,  Berlin",,,
Emanuel Reich,"Grenadierstr. 16,  Berlin",1903,1938,
Moses Fertig,"Grenadierstr. 16,  Berlin",1916,1941,
Salomon Szydlow,"Grenadierstr. 36,  Berlin",1931,1939,
Gebrüder Rubenzik Fischgroßhandlung,"Grenadierstr. 44,  Berlin",1932,1941,
Nähmaschinen-Haus Berthold Barczinski,"Grenadierstr. 45,  Berlin",1936,1940,
Kurt Fuchs Trinkhalmfabrik Furor,"Griebenowstr. 1,  Berlin",1932,1939,
Hirsch Dintenfaß,"Griebenowstr. 17,  Berlin",1932,1939,
A. Chill & Co,Grimmstr. 21 Berlin,1921,1938,
Richard Philippsborn,"Gröbenufer 1,  Berlin",1920,1938,
Georg Dobrin mechanische Werkstatt,"Grolmannstr.  12,  Berlin",,,
Pension Charlottenburg,"Grolmannstr.  32,  Berlin",,,
Pension Egra,"Grolmannstr.  40,  Berlin",,,
Pension Philipp,"Grolmannstr.  40,  Berlin",,,
"Lilli Aronheim, Vertreterin der Firma Sambach Edellikörfabrik GmbH","Grolmannstr.  41,  Berlin",,,
Laboratorium Champion,"Grolmannstr.  53,  Berlin",,,
Leihhaus David Rosenberg,"Grolmannstr. 1,  Berlin",1911,1939,
Euphorion Verlag Berlin GmbH,"Grolmannstr. 1/2,  Berlin",1922,1937,1939
August Rosenfeld,"Grolmannstr. 21,  Berlin",1927,1937,
M. Lövinsohn,"Grolmannstr. 28,  Berlin",1902,1934,
Ludwig Weiß Lederartikel,"Grolmannstr. 32/33,  Berlin",1919,1939,
Jacob Schwarzschild,"Grolmannstr. 43,  Berlin",1906,1938,
Berlin-Erfurter Maschinenfabrik Henry Pels & Co AG,"Grolmannstr. 5,  Berlin",1927,1935,
Henry Pels & Cie,"Grolmannstr. 5,  Berlin",1929,1938,
Walter Friedlaender,"Grolmannstr. 57,  Berlin",1920,1937,
Ambi Eigene Versicherungs GmbH,"Groß-Berliner-Damm ,  Berlin",1924,,
K. Müller & Matheus,"Großadmiral-von-Köster-Ufer 59,  Berlin",1912,1939,
Gustav Leske,"Großbeerenstr.  56,  Berlin",,,
Klein-Bestener Kieswerke GmbH,"Großbeerenstr. 100,  Berlin",1911,1939,
Zieten Apotheke Carl Weiß,"Großbeerenstr. 11,  Berlin",1900,1935,
Gebrüder Marx,"Großbeerenstr. 24,  Berlin",1902,1939,
Leonor Poppelauer,"Großbeerenstr. 28,  Berlin",1931,1938,1940
Max Silbermann,"Großbeerenstr. 6,  Berlin",1904,1939,1940
Neufeld & Henius,"Großbeerenstr. 94,  Berlin",1901,1937,
Borchardt & Flanzreich,"Große Frankfurter Str. 10,  Berlin",1924,1941,
Kaufhaus Modern Willi Schlein,"Große Frankfurter Str. 101,  Berlin",1926,1940,
N. & M. Roll,"Große Frankfurter Str. 102,  Berlin",1930,1941,
David Zellermayer,"Große Frankfurter Str. 107,  Berlin",1921,1935,1937
Natalie Westmann Damenkonfektion & Trauermagazin,"Große Frankfurter Str. 114,  Berlin",1930,1938,
Hugo Ahronfeld,"Große Frankfurter Str. 117,  Berlin",1900,1937,
Schuh-Beigel Martin Beigel,"Große Frankfurter Str. 119,  Berlin",1932,1939,
Luna Lichtspieltheater-Vertriebsgesellschaft mbH,"Große Frankfurter Str. 121,  Berlin",1933,1937,1939
Paul Linick vormals Metzger,"Große Frankfurter Str. 126,  Berlin",1934,1938,1938
Max Schwersenzer,"Große Frankfurter Str. 127,  Berlin",1925,1938,
Eduard Pincuß,"Große Frankfurter Str. 13,  Berlin",1901,1939,
Bergmann Schuhe Elsbeth Bergmann,"Große Frankfurter Str. 131,  Berlin",1937,1940,
Reichsadler-Apotheke & Droguerie Paul Schoenbeck,"Große Frankfurter Str. 134,  Berlin",1900,1936,
Möbel-Groß Credithaus Frankfurter Tor Benno Groß,"Große Frankfurter Str. 135,  Berlin",1913,1937,
Heinrich Spanier,"Große Frankfurter Str. 137,  Berlin",1928,1937,
J. & P. Salamon,"Große Frankfurter Str. 137,  Berlin",1923,1938,
Medidenta Vertriebs-Gesellschaft medizinischer- und zahnärztlicher Bedarfsartikel mbH,"Große Frankfurter Str. 137,  Berlin",1922,1938,
Joro Pfeifenmanufaktur Josef Rothstein,"Große Frankfurter Str. 138,  Berlin",1926,1938,
Simon Loewenstamm,"Große Frankfurter Str. 141,  Berlin",1936,1939,
Adolf Cohn jr.,"Große Frankfurter Str. 144,  Berlin",1902,1939,
Möbelhaus Winterfeld & Co,"Große Frankfurter Str. 29,  Berlin",1926,1939,
Max Wachtel,"Große Frankfurter Str. 32,  Berlin",1903,1938,
Josef Antel,"Große Frankfurter Str. 34,  Berlin",1903,1934,
Voigt & Co Blusen & Kleider,"Große Frankfurter Str. 36,  Berlin",1914,1941,
Erwin Herrnstadt,"Große Frankfurter Str. 4,  Berlin",1933,1939,
Wilhelm Misch,"Große Frankfurter Str. 45/46,  Berlin",1905,1941,
Artur Blumenthal,"Große Frankfurter Str. 53,  Berlin",1919,1938,1939
C. Leiser & Co,"Große Frankfurter Str. 53,  Berlin",1903,1937,
Arthur Leyser,"Große Frankfurter Str. 55,  Berlin",1911,1939,
Großberliner Möbel-Vertrieb GmbH,"Große Frankfurter Str. 59,  Berlin",1933,1938,1940
Otto Thau,"Große Frankfurter Str. 66,  Berlin",1929,1939,
Rudolf Koenig & Co,"Große Frankfurter Str. 69,  Berlin",1922,1940,
Martin Neustadt & Co,"Große Frankfurter Str. 73,  Berlin",1931,1942,
Leo Geisenberg,"Große Frankfurter Str. 83,  Berlin",1937,1938,
Möbel-Cohn Louis Cohn,"Große Frankfurter Str. 84,  Berlin",1901,1934,
Hans Stroh,"Große Frankfurter Str. 86,  Berlin",1935,1939,
Salo Kalman,"Große Frankfurter Str. 86,  Berlin",1911,1939,
Richard Brandt,"Große Frankfurter Str. 87,  Berlin",1915,1939,1939
David Fischmann,"Große Frankfurter Str. 87,  Berlin",1920,1935,
Julius Rose Mehl engros,"Große Frankfurter Str. 87,  Berlin",1922,1937,
Modehaus Wilhelm Metzner,"Große Frankfurter Str. 92,  Berlin",1900,1940,
Hansa-Mützenfabrikation Julius Fabian,"Große Frankfurter Str. 95,  Berlin 
    
                                                                                          Friedenstr 95,",1921,1939,
Geis & Co,"Große Hamburger Str- 17,  Berlin",1934,,
Quandt & Spritz,"Große Hamburger Str. 1,  Berlin",1901,1939,
Gebr. Katzenstein vormals Simon Wertheim & Co,"Große Hamburger Str. 17,  Berlin",1922,1938,
Otto Gröner,"Große Hamburger Str. 20,  Berlin",1902,1940,
Leo Grünberg Lebensmittel Großhandlung Import und Export,"Große Hamburger Str. 30,  Berlin",1930,1933,
Ludwig Sager,"Große Leegestr. 10/12,  Berlin",1931,1939,
Kosmos-Betriebe GmbH,"Große Präsidenten Str. 3,  Berlin",1938,1938,
Kurt Grünberg Bauausführungen GmbH,"Große Präsidentenstr. 3,  Berlin",1936,1940,1941
Paul Saalfeld,"Große Präsidentenstr. 8,  Berlin",1904,1938,1939
Hirsch Kornblüth,"Große Präsidentenstr. 8,  Berlin",1926,1932,
Georg Schnitzler,"Große Präsidentenstr. 9,  Berlin",1932,1938,1940
Pototzky & Co AG für Versicherungswesen,"Große Präsidentenstr. 9,  Berlin",1923,1939,1940
A. Ephraim,"Große Präsidentenstr. 9,  Berlin",1903,1937,
Pototzky & Co,"Große Präsidentenstr. 9,  Berlin",1935,1939,
Helmuth Meyer Speditions- u. Assekuranzbüro,"Großgörschen Platz 120/123,  Berlin",1929,1932,
Wilhelm Joseph,"Großgörschenstr. 1,  Berlin",1900,1937,
Adolf Peters,"Grünauer Str.  20,  Berlin",,,
Wäscherei Buley,"Grünauer Str.  31,  Berlin",,,
Ernst Schwarz- Wäscherei Spreetal,"Grünauer Str.  32,  Berlin",,,
Paul Szepanski,"Grünauer Str.  62,  Berlin",,,
Benno Silberbusch,"Grünauer Str. 14,  Berlin",1916,1939,
"Fernbach, Gustav","Grünbergerstr. 68,  Berlin",,,
Oscar Winter Kaufhaus,"Grünbergstr. 71,  Berlin",1927,1939,
Josefine Marcus,"Grunewaldstr.  13,  Berlin",,,
Siegbert Fuchs,"Grunewaldstr.  38,  Berlin",,,
"Rudolf Bandmann ( Rolf Bandmann, Rudi Bandmann)","Grunewaldstr.  45,  Berlin",,,
"Radio-Vertrieb Bayrischer Platz, A. Kraus","Grunewaldstr.  51,  Berlin",,,
Alfred Cohn (Rembrandt-Atelier Alfred Cohn),"Grunewaldstr.  58,  Berlin",,,
"Wittelsbach-Papierhandlung, Johanna Rosenbaum","Grunewaldstr.  59,  Berlin",,,
Abraham Weber,"Grunewaldstr.  61,  Berlin",,,
Walter Loebinger,"Grunewaldstr.  71,  Berlin",,,
Atelier Arzt,"Grunewaldstr.  78,  Berlin",,,
E. Kobold Nfg.,"Grunewaldstr.  88,  Berlin",,,
Willi Loewenstein & Menzel Elektromotoren,"Grunewaldstr. 14/15,  Berlin",1923,1936,
Martin Kalischer,"Grunewaldstr. 24,  Berlin",1918,1936,
"Biek, Eugen","Grunewaldstr. 27,  Berlin",,,
"Deutsch, Elsa","Grunewaldstr. 27,  Berlin",,,
Stadt- und Land-Hygiene GmbH,"Grunewaldstr. 36,  Berlin",1929,1938,1939
Drogerie Weißes Kreuz Apotheker Hugo Cohn,"Grunewaldstr. 40,  Berlin",1912,1938,
Nathan Willig,"Grunewaldstr. 42,  Berlin",1924,1938,
Neustadt & Co,"Grunewaldstr. 43,  Berlin",1931,1939,
"Persicaner, Bernhard","Grunewaldstr. 44,  Berlin",,,
Julius Ahronheim,"Grunewaldstr. 45,  Berlin",1919,1941,
Clara Golsch,"Grunewaldstr. 46,  Berlin",1920,1939,
Alice Jolles,"Grunewaldstr. 50,  Berlin",1925,1938,1938
Die Bücher-Ecke Willy Cohn,"Grunewaldstr. 53,  Berlin",1926,1937,
Jersey-Club Margot Freudenberg,"Grunewaldstr. 54,  Berlin",1935,1938,1940
Seidels Handarbeiten Herta Seidel,"Grunewaldstr. 56,  Berlin",1935,1938,
Hans Graetzer,"Grunewaldstr. 56,  Berlin",1928,1939,
Julius Engländer,"Grunewaldstr. 56,  Berlin",1922,1940,
Eugen Schüler,"Grunewaldstr. 58,  Berlin",1922,,
Paul Fuß & Co Möbeltransport,"Grunewaldstr. 65,  Berlin",1935,1939,
Fichtenberg Apotheke Wilhelm Ph. Wachsmann,"Grunewaldstr. 6a,  Berlin",1908,1936,
Ludwig Springer,"Grunewaldstr. 72,  Berlin",1935,1938,1940
Heinrich Seiden,"Grunewaldstr. 76,  Berlin",1924,1937,
Georg Tepper & Co Radio-Fabrikation und Export,"Grunewaldstr. 9,  Berlin",1927,1939,
I. Furmanek,"Grünstr.  2,  Berlin",,,
Berliner Schuhvertrieb,"Grünstr.  23,  Berlin",,,
M. Lichtenstein Nchf. D. Cohn,"Grünstr. ,  Berlin",1931,1938,
Kobro Webwaren Kost & Brown,"Grünstr. 1,  Berlin",1902,1932,
J. Aron,"Grünstr. 14/15,  Berlin",1902,1939,
Hermann J. Hahlo,"Grünstr. 16,  Berlin",1901,1938,
Everdry Trikot-Cahn GmbH,"Grünstr. 17/18,  Berlin",1926,1939,
Inlandbank AG,"Grünstr. 17/20,  Berlin",1921,1936,1938
Rosenbaum & Górski,"Grünstr. 17/20,  Berlin",1902,1939,
Nußbaum & Co,"Grünstr. 19/20,  Berlin",1925,1937,
Zum Blusenkönig Inh. Richard u. Hedwig Hirschhahn,"Grünstr. 20,  Berlin",1931,1939,
Fritz Koch,"Grünstr. 21,  Berlin",1913,1934,
Leo Bergmann,"Grünstr. 22,  Berlin",1905,1940,
Jakob Gerber,"Grünstr. 25/26,  Berlin",1920,1939,1939
Ludwig Rügheimer,"Grünstr. 25/26,  Berlin",1908,1938,
Gustav Grützmacher & Co,"Grünstr. 25/26,  Berlin",1926,1939,
Max Hirschel,"Grünstr. 25/26,  Berlin",1904,1939,
J. Polak Apparatebau Aktiengesellschaft Ipag,"Grünstr. 27,  Berlin",1923,1932,1934
Adolf Wittkowski,"Grünstr. 3/4,  Berlin",1907,1937,
W. & S. Loewenthal,"Grünstr. 4,  Berlin",1901,1937,1939
Isaacsohn & Maaß,"Grünstr. 40,  Berlin",1902,1939,
Michalski & Striemer,"Grünstr. 5/6,  Berlin",1903,1938,1940
Bruno Zehden,"Grünstr. 5/6,  Berlin",1919,1939,1940
B. Zander & Co,"Grünstr. 5/6,  Berlin",1901,1938,
Heinrich Bukofzer,"Grünstr. 5/6,  Berlin",1901,1938,
Emil Mandel,"Grünstr. 52a,  Berlin",1910,1933,
Kurt Loewenstein,"Grünthaler Str. ,  Berlin",1927,1939,1939
Julius Knopf Nutzholzhandlung,"Grünthaler Str. ,  Berlin",1924,1937,
Leopold Löwenstein,"Grünthaler Str. 1,  Berlin",1902,1938,1941
Scheuer & Co Kanülen-Fabrik,"Grünthaler Str. 62,  Berlin",1921,1938,
Ost- und Nord-Expreß,"Gubener Str.  33,  Berlin",,,
Gebr. Robert,"Gubener Str. 2,  Berlin",1921,1937,
Sara Seitelbach,"Gubener Str. 23,  Berlin",1916,1935,
Noech Seitelbach,"Gubener Str. 23,  Berlin",1929,1937,
Max Strauß,"Gubener Str. 47,  Berlin",1926,,
