"business_name","Address","Founded / Registration Date","Erloschen / Took possesion","Expiration Date","category"
"Hermann Cohn","Clausewitzstr. 4,  Berlin","1924","1939.0","1939.0","Nahrungs- und Genussmittel"
"Richard Dienstfertig","Clausewitzstr. 6,  Berlin","1913","1937.0","","banks and insurance"
"Hans Cohn Fondsmakler","Clausewitzstr. 6,  Berlin","1928","1939.0","","banks and insurance"
"Georg Mamroth","Clausewitzstr. 8,  Berlin","1924","1938.0","","construction materials and fuel"
"Moritz Bendix","Clausewitzstr. 8,  Berlin","1928","1938.0","","banks and insurance"
"Dentos Dental-Depot des Ostens Emil Cohen","Copernikuststr. 23,  Berlin","1930","1943.0","","other"
"Pallas Grundstückshandelsgesellschaft mbH","Corneliusstr. 3,  Berlin","1903","","","real estate"
"Verlagsgesellschaft Huck GmbH","Corneliusstr. 7,  Berlin","1926","1936.0","","publishing and printing"
"Guthmann & Co GmbH","Cotheniusstr. 1,  Berlin","1927","1937.0","1939.0","Nahrungs- und Genussmittel"
"A. & B. Munter's Elektro-Engros-Haus","Courbièrestr. 16,  Berlin","1928","1940.0","","electrical goods"
"Kaufhaus Arthur Rosendorff","Cranachstr. 12,  Berlin","1926","1938.0","1938.0","retail shops and department stores"
"Gotthold Rosen","Cranachstr. 17/18,  Berlin","1919","1938.0","","banks and insurance"
"Kalenscher, Heymann","Cranachstr. 41, III.,,  Berlin","","","","textiles and clothing"
"Mendelsohn, Anna","Cranachstr. 43,  Berlin","","","","textiles and clothing"
"I. Becker & Co","Cunostr. 45,  Berlin","1931","1939.0","","electrical goods"
"Alfred Knopf Getreide & Futtermittel en gros","Cüstriner Str. 23,  Berlin","1923","1938.0","","Nahrungs- und Genussmittel"
"Hugo Karo Producten Handlung engros","Cuvrystr. 27,  Berlin","1910","1938.0","","paper and paper goods"
"Lambert Horstmeier","Cuxhavener Str.  13,  Berlin","","","","textiles and clothing"
"Ernst Heller","Cuxhavener Str. 14,  Berlin","1923","1936.0","","banks and insurance"
"H. Bielschowsky","Cuxhavener Str. 15,  Berlin","1901","1936.0","","banks and insurance"
"W. Eisenhardt","Cuxhavener Str. 5,  Berlin","1903","1933.0","","Nahrungs- und Genussmittel"
"Alfred Auerbach vorm. J. Auerbach","Cuxhavener Str. 6,  Berlin","1900","1939.0","","paper and paper goods"
"Isidor Abrahamson","Cuxhavener Str. 9,  Berlin","1919","1936.0","","leather and shoes"
"Alfred Krawitz","Dahlmannstr.  1,  Berlin","","","","jewelry and precious metals"
"Gottlieb Sladkus","Dahlmannstr.  22,  Berlin","","","","textiles and clothing"
"Nakus Chmelnitzki","Dahlmannstr.  25,  Berlin","","","",""
"Nathan Chmelnitzki","Dahlmannstr.  25,  Berlin","","","","publishing and printing"
"Benno Putziger","Dahlmannstr.  27,  Berlin","","","","electrical goods"
"Holzagentur Kaphan GmbH","Dahlmannstr. 1,  Berlin","1926","1935.0","","construction materials and fuel"
"Kallmanns süße Ecke Feinste Süßkost Martin Kallmann","Dahlmannstr. 1,  Berlin","1917","1939.0","","Nahrungs- und Genussmittel"
"Max Abraham Bankkommissionsgeschäft","Dahlmannstr. 10,  Berlin","1922","1937.0","","banks and insurance"
"Julius Löwenhaar Möbel en gros","Dahlmannstr. 10,  Berlin","1919","1938.0","","Möbel"
"Wäsche-Versand Georg Margulies","Dahlmannstr. 11,  Berlin","1925","1938.0","1940.0","textiles and clothing"
"Aron Katz Söhne","Dahlmannstr. 12,  Berlin","1921","1938.0","","Nahrungs- und Genussmittel"
"Arthur Katzenellenbogen & Co GmbH","Dahlmannstr. 23,  Berlin","1929","1935.0","",""
"Georg Grünbaum Holzmakler","Dahlmannstr. 23,  Berlin","1909","1941.0","","construction materials and fuel"
"Ignatz Kallmann","Dahlmannstr. 24,  Berlin","1924","1939.0","1939.0","construction materials and fuel"
"D. Croner","Dahlmannstr. 24,  Berlin","1902","1939.0","","textiles and clothing"
"Loewenberg & Machscheves","Dahlmannstr. 25,  Berlin","1904","1937.0","","banks and insurance"
"Max Schönfeld","Dahlmannstr. 25,  Berlin","1902","1938.0","","textiles and clothing"
"Wilhelm Bromberger","Dahlmannstr. 27,  Berlin","1914","1938.0","1940.0","retail shops and department stores"
"Naum Pecker","Dahlmannstr. 27,  Berlin","1935","1939.0","","textiles and clothing"
"Werner Lachs","Dahlmannstr. 32,  Berlin","1919","1939.0","","chemicals and pharmaceuticals"
"Ajanoth Hebräischer Verlag GmbH","Dahlmannstr. 5,  Berlin","1922","1935.0","","publishing and printing"
"Jalkut GmbH","Dahlmannstr. 5,  Berlin","1920","1936.0","","publishing and printing"
"Buchhandlung Kedem Blumstein und Bronstein","Dahlmannstr. 8,  Berlin","1921","1939.0","1939.0","books and art"
"Blaue Apotheke Edmund Schirokauer","Dahlwitzplatz 6,  Berlin","1931","1936.0","","pharmacies"
"Wolf Eckstein","Danckelmannstr. 13,  Berlin","1930","1938.0","","Nahrungs- und Genussmittel"
"Berta Bernstein","Danckelmannstr. 16,  Berlin","1920","1934.0","","paper and paper goods"
"Feiwel Metzger","Danckelmannstr. 20,  Berlin","1928","1938.0","1939.0","textiles and clothing"
"Kaufhaus M. Feidt Nachflg.","Danckelmannstr. 61,  Berlin","1933","1938.0","","retail shops and department stores"
"Plissee-Biene","Danziger Str.  28,  Berlin","","","","textiles and clothing"
"Heinrich Wolff, in Firma Leopold Wolff","Danziger Str.  87,  Berlin","","","","construction"
"Gebrüder Bendel","Danziger Str. 3,  Berlin","1925","1938.0","","electrical goods"
"Leon Abermann","Danziger Str. 51,  Berlin","1912","1940.0","","leather and shoes"
"Friedrich Ullendorff","Danziger Str. 52,  Berlin","1915","1938.0","","Nahrungs- und Genussmittel"
"Jakob Hirschberg","Danziger Str. 66,  Berlin","1921","1938.0","","Nahrungs- und Genussmittel"
"J. Wallach","Danziger Str. 81,  Berlin","1903","1938.0","","Nahrungs- und Genussmittel"
"Abraham Stock","Danziger Str. 96,  Berlin","1919","","","textiles and clothing"
"Kaufhaus Lamm GmbH","Danziger Str. 98,  Berlin","1926","1934.0","1937.0","retail shops and department stores"
"Gebr. Bernhard","Darmstädter Str. 1,  Berlin","1902","1939.0","","jewelry and precious metals"
"Sally Dawidowitz","Darmstädter Str. 3,  Berlin","1934","1939.0","","Nahrungs- und Genussmittel"
"Kanter & Mohr","Darmstädter Str. 6,  Berlin","1902","1937.0","","publishing and printing"
"Jesim Garbuny","Darmstädter Str. 7,  Berlin","1936","1939.0","",""
"Eduard Cassel","Davoser Str.  82,  Berlin","","","",""
"Gustav Seelig","Deidesheimer Str.  8,  Berlin","","","","household goods"
"Julius Haskel","Deidesheimer Str. 2,  Berlin","1908","1938.0","","Nahrungs- und Genussmittel"
"Max Rosenberg","Delbrückstr. 58,  Berlin","1928","1938.0","1939.0","chemicals and pharmaceuticals"
"Adolf Hanau","Dellbrückstr. 19,  Berlin","1938","1942.0","","banks and insurance"
"Berliner Watteline-Fabrik GmbH","Dennewitz Str. 33,  Berlin","1929","1937.0","","chemicals and pharmaceuticals"
"Samuel Bossack","Dennewitzstr.  21,  Berlin","","","","publishing and printing"
"Lore Lilien","Derfflingerstr.  10,  Berlin","","","","jewelry and precious metals"
"Bruno Cassirer","Derflinger Str. 15,  Berlin","1901","1939.0","","publishing and printing"
"Edmund Rappaport","Derflinger Str. 2,  Berlin","1901","1938.0","","jewelry and precious metals"
"Berthold Hirschfeldt","Derflinger Str. 22,  Berlin","1930","1938.0","","Nahrungs- und Genussmittel"
"D. Woythaler","Derflinger Str. 32/34,  Berlin","1920","1938.0","","Nahrungs- und Genussmittel"
"Joseph Fraenkel Baugeschäft AG","Derflinger Str. 8,  Berlin","1922","","","construction"
"Verlag der Weltbühne Siegfried Jacobsohn & Co","Dernburger Str. 17,  Berlin","1917","1935.0","","publishing and printing"
"Paul Marcus Bankkommissionsgeschäft","Dernburgplatz 1,  Berlin","1927","1935.0","","banks and insurance"
"Paul Gottschalksohn","Dernburgstr.  4,  Berlin","","","",""
"Holzhandelsgesellschaft Baer mbH","Dernburgstr. 27,  Berlin","1922","1940.0","","construction materials and fuel"
"Ernst M. Hirschberg","Dernburgstr. 47,  Berlin","1925","1932.0","","banks and insurance"
"Kontorbedarf GmbH","Dernburgstr. 48,  Berlin","1921","1938.0","",""
"Josef Sack","Dernburgstr. 6,  Berlin","1928","1937.0","","banks and insurance"
"Kunstmöbel-Werkstätten Max Lewy, Architekt","Dessauer Str. 23,  Berlin","1909","1938.0","","Möbel"
"Josef Lieber","Dessauer Str. 32,  Berlin","1931","1939.0","","textiles and clothing"
"Ludwig Elsner Nachf. GmbH","Dessauer Str. 37,  Berlin","1931","1938.0","","paper and paper goods"
"Alfred Reiß GmbH","Dessauerstr. 6,  Berlin","1924","1936.0","","paper and paper goods"
"Max Prager & Jenny Prager","Detmolder Str.  3,  Berlin","","","","publishing and printing"
"Jakobus, Adolf","Deutschmeisterstr. 24,  Berlin","","","",""
"Leske, Moritz","Deutschmeisterstr. 24,  Berlin","","","",""
"Paul Griese, Nachf.","Dieffenbachstr. 33,  Berlin","1918","1932.0","","Möbel"
"Mayr Scheer","Dietrich-Eckart-Str.  14,  Berlin","","","",""
"Albert Bloch","Dirckesenstr. 50,  Berlin","1902","1937.0","","textiles and clothing"
"Josef Fischmann","Dircksenstr.  2,  Berlin","","","","textiles and clothing"
"Ch. Rosenheck","Dircksenstr.  42,  Berlin","","","","publishing and printing"
"Volksbank Iwria eGMBH","Dircksenstr. 26,  Berlin","1928","1938.0","1955.0","banks and insurance"
"Leopold Pinn","Dircksenstr. 26,  Berlin","1901","1941.0","1941.0","textiles and clothing"
"Das Jüdische Volk Verlagsgesellschaft mbH","Dircksenstr. 26/27,  Berlin","1937","1938.0","","publishing and printing"
"Deutscher Wirtschaftsbedarf Gesellschaft zur Belieferung von Beamten und Angestellten mbH","Dircksenstr. 26/27,  Berlin","1925","1939.0","","other"
"Emil Israelski","Dircksenstr. 26/27,  Berlin","1924","1939.0","","textiles and clothing"
"Siegfried Bernhardt","Dircksenstr. 26/27,  Berlin","1920","1939.0","","Nahrungs- und Genussmittel"
"Ernst Hirschel","Dircksenstr. 26/27,  Berlin","1904","1940.0","","textiles and clothing"
"D. Lewinsky Nachfolger Inhaber Georg Anker","Dircksenstr. 26/27,  Berlin","1931","1941.0","","textiles and clothing"
"Jacob Philipsborn","Dircksenstr. 26/27,  Berlin","1904","1941.0","","textiles and clothing"
"Adolf A. Weinberg","Dircksenstr. 28,  Berlin","1914","1939.0","","textiles and clothing"
"Erber & Sohn","Dircksenstr. 29,  Berlin","1923","1937.0","","textiles and clothing"
"Lesser Levy","Dircksenstr. 29,  Berlin","1915","","","textiles and clothing"
"Samuel N. Witkowsky","Dircksenstr. 31,  Berlin","1902","1934.0","","retail shops and department stores"
"Handelsstätte Alexanderplatz GmbH","Dircksenstr. 31,  Berlin","1907","1939.0","","other"
"Benedict Schwarzer","Dircksenstr. 36,  Berlin","1904","1939.0","","textiles and clothing"
"M. Sonnenblick & Sohn","Dircksenstr. 38,  Berlin","1936","1940.0","","textiles and clothing"
"Jacob Cohn Wild, Geflügel, Eier","Dircksenstr. 39,  Berlin","1931","1939.0","","Nahrungs- und Genussmittel"
"William Palnitzky","Dircksenstr. 41,  Berlin","1911","1938.0","1940.0","textiles and clothing"
"Siegmund Teschner","Dircksenstr. 43/44,  Berlin","1923","1940.0","","textiles and clothing"
"Moses Kaufmann","Dircksenstr. 45,  Berlin","1936","1939.0","","textiles and clothing"
"M. Baum & Co","Dircksenstr. 45,  Berlin","1905","1940.0","","textiles and clothing"
"Bernhard Cohn & Comp","Dircksenstr. 45,  Berlin","1920","1941.0","","Nahrungs- und Genussmittel"
"Albert Kaatz","Dircksenstr. 47,  Berlin","1921","1938.0","","Nahrungs- und Genussmittel"
"David Zagorski Herren Konfektion","Dircksenstr. 48/49,  Berlin","1936","1938.0","","textiles and clothing"
"Kamm-Bloch Ella Bloch","Dircksenstr. 51,  Berlin","1935","1938.0","1940.0","textiles and clothing"
"Geflügel-Import, GmbH","Dircksenstr. 51,  Berlin","1928","1939.0","","Nahrungs- und Genussmittel"
"A. Magnus","Dircksenstr., Stadtbahnbogen 137,  Berlin","","","",""
"Otto Sander","Donaustr. 102,  Berlin","1912","1940.0","","paper and paper goods"
"R. Fröschke & Co","Donaustr. 8,  Berlin","1907","1939.0","","chemicals and pharmaceuticals"
"Atlas GmbH","Dönhoffstr. 35,  Berlin","1932","1938.0","1940.0","metals and metal goods"
"Dr. Ing. Straus & Berliner","Dörnbergstr. 1,  Berlin","1919","1937.0","","other"
"Benda, Heinrich","Dörnbergstr. 1,  Berlin","","","","Nahrungs- und Genussmittel"
"S. Gerstmann's Verlag","Dörnbergstr. 7,  Berlin","1902","1937.0","","publishing and printing"
"Otto Wolff Filiale Berlin","Dorotheenstr. 11,  Berlin","1912","1933.0","","metals and metal goods"
"Maximilian Fürst","Dorotheenstr. 19,  Berlin","1909","1936.0","","banks and insurance"
"Alfred M. Cohn","Dorotheenstr. 24,  Berlin","1923","1940.0","","banks and insurance"
"Glühlampen-Vertrieb Union Josef Panofsky","Dorotheenstr. 25,  Berlin","1915","1936.0","","electrical goods"
"Steinberg & Kohler","Dorotheenstr. 31,  Berlin","1923","1938.0","","banks and insurance"
"Baruch Bibo","Dorotheenstr. 32,  Berlin","1914","1932.0","","books and art"
"Gesellschaft für Immobiliarbeteiligungen mbH","Dorotheenstr. 34,  Berlin","1928","1938.0","","real estate"
"Chemische Fabrik Dr. Hans Sachse & Scheidt GmbH","Dorotheenstr. 36,  Berlin","1928","1937.0","","chemicals and pharmaceuticals"
"Gesellschaft für elektrische Unternehmungen - Ludw. Loewe & Co AG","Dorotheenstr. 36,  Berlin","1921","1937.0","","electrical goods"
"Theodor Fröhlich AG","Dorotheenstr. 36,  Berlin","1929","","",""
"Liquidationskasse AG","Dorotheenstr. 4,  Berlin","1925","1939.0","1939.0","banks and insurance"
"Dr. Hans Preiß","Dorotheenstr. 4,  Berlin","1912","1933.0","","books and art"
"Moritz Moll jun.","Dorotheenstr. 42,  Berlin","1920","1939.0","",""
"A. H. Heymann & Co","Dorotheenstr. 43,  Berlin","1901","1937.0","","banks and insurance"
"M. Neufeld & Co","Dorotheenstr. 43,  Berlin","1900","1938.0","","banks and insurance"
"Paul Oppler","Dorotheenstr. 53,  Berlin","1924","1939.0","","metals and metal goods"
"Bruno Hellinger","Dorotheenstr. 56,  Berlin","1921","1938.0","","banks and insurance"
"Eisenschmidt's Buch- und Landkartenhandlung","Dorotheenstr. 60,  Berlin","1902","1935.0","","books and art"
"R. Eisenschmidt","Dorotheenstr. 60,  Berlin","1901","1935.0","","publishing and printing"
"Ernst Lindenberg Finanzierungen","Dorotheenstr. 61,  Berlin","1925","1938.0","","banks and insurance"
"Georg Stilke","Dorotheenstr. 65,  Berlin","1900","1938.0","","publishing and printing"
"Deutsche Waren-Treuhand-AG","Dorotheenstr. 68,  Berlin","1921","1935.0","","banks and insurance"
"J. Adler & Co","Dorotheenstr. 68,  Berlin","1928","1940.0","","banks and insurance"
"Hackescher Hof Grundstücks-GmbH","Dorotheenstr. 8,  Berlin","1920","1938.0","","real estate"
"Einfamilienhaus Mein Eigen AG","Dorotheenstr. 80,  Berlin","1922","","1937.0","real estate"
"Mitteldeutsche Bodenkredit-Anstalt","Dorotheenstr. 80,  Berlin","1895","1936.0","","real estate"
"Märtag Grundstücks-AG","Dorotheenstr. 80,  Berlin","1934","","",""
"Martin Gottliebsohn","Dortmunder Str. 3,  Berlin","1916","1938.0","","textiles and clothing"
"Rothenberg, Leib","Dortmunder Str. 3,  Berlin","","","",""
"Bernstein, Mylius","Dortmunder Str. 3, II.,,  Berlin","","","",""
"Alfred Rosenthal","Dortmunder Str. 4,  Berlin","1907","1933.0","","Nahrungs- und Genussmittel"
"Breslauer, Albert","Dortmunder Str. 8,  Berlin","","","","textiles and clothing"
"Ludwig Gundermann","Dortmunder Str. 9,  Berlin","1902","1938.0","","textiles and clothing"
"Ziegler, Hermann","Dortmunder Str. 9,  Berlin","","","",""
"Arno Kikoler","Douglasstr.  30,  Berlin","","","","photography and film"
"Williams & Co Verlag GmbH","Douglasstr. 30,  Berlin","1928","1933.0","1937.0","publishing and printing"
"Deutsche Textil-Auskunftei Scherbel & Co","Douglasstr. 30,  Berlin","1926","1934.0","","other"
"Grünbaum","Dragonerstr,  48,  Berlin","","","",""
"Osias Mückenbrunn","Dragonerstr.  15,  Berlin","","","","paper and paper goods"
"Mendel Becker","Dragonerstr.  44,  Berlin","","","","books and art"
"Chaskel Felsenbach","Dragonerstr. 10,  Berlin","1916","1935.0","","Nahrungs- und Genussmittel"
"Dora Gelb Inh. Moritz Müller","Dragonerstr. 20,  Berlin","1917","1940.0","","paper and paper goods"
"Hugo Rosenblatt","Dragonerstr. 24/25,  Berlin","1934","1939.0","","Nahrungs- und Genussmittel"
"Fortuna Apotheke Bernhard Goldmann Fabrik pharmazeutischer Präparate","Dragonerstr. 6a,  Berlin","1902","1936.0","","pharmacies"
"Lichterfelder Adler Apotheke Hermann Meyer","Drakestr. 56,  Berlin","1926","1936.0","","pharmacies"
"R. T. Glanternik","Dresdener Str.  2,  Berlin","","","","textiles and clothing"
"Hermann Weinwurm","Dresdener Str.  74,  Berlin","","","","paper and paper goods"
"Hugo Messer","Dresdener Str.  76,  Berlin","","","","textiles and clothing"
"Hermann Salomonski","Dresdener Str. 88/89,  Berlin","1908","1939.0","","textiles and clothing"
"Albert Carl & Co GmbH","Dresdner Str. 112,  Berlin","1925","1936.0","1936.0","chemicals and pharmaceuticals"
"Luisen Drogerie F. W. Sehrndt Nachf. Inh. Ludwig Begach","Dresdner Str. 115,  Berlin","1902","1938.0","","chemicals and pharmaceuticals"
"Ida Weile","Dresdner Str. 119,  Berlin","1918","1938.0","","textiles and clothing"
"Flora Adler","Dresdner Str. 128,  Berlin","1909","1938.0","1938.0","textiles and clothing"
"Deutsche Compagnie Heitinger & Co","Dresdner Str. 20,  Berlin","1902","1933.0","","textiles and clothing"
"Sauber & Kramer","Dresdner Str. 36,  Berlin","1923","1939.0","","leather and shoes"
"Adolf Stern jr.","Dresdner Str. 37,  Berlin","1917","1943.0","","machines, motor vehicles & technical articles"
"Richard Gradenwitz GmbH","Dresdner Str. 38,  Berlin","1925","","","machines, motor vehicles & technical articles"
"Georg Erich Jakszt","Dresdner Str. 42/43,  Berlin","1936","","","chemicals and pharmaceuticals"
"Gebrüder Helft GmbH","Dresdner Str. 43,  Berlin","1926","1933.0","","paper and paper goods"
"Stern & Schiele","Dresdner Str. 43,  Berlin","1902","1935.0","","publishing and printing"
"Fabian & Co Graphische Kunstanstalt GmbH","Dresdner Str. 43,  Berlin","1923","1939.0","","publishing and printing"
"Wilhelm Guttsmann GmbH","Dresdner Str. 5,  Berlin","1924","1934.0","1940.0","leather and shoes"
"Leopold Rosenow","Dresdner Str. 50/51,  Berlin","1902","1936.0","","jewelry and precious metals"
"B. Sulmann & Co","Dresdner Str. 50/51,  Berlin","1918","1942.0","","chemicals and pharmaceuticals"
"H. Rosenbund","Dresdner Str. 55,  Berlin","1931","1934.0","","metals and metal goods"
"D. Segal Inh. Hermann Goldner","Dresdner Str. 75,  Berlin","1902","1939.0","","textiles and clothing"
"Wilhelm Bursch","Dresdner Str. 76,  Berlin","1902","1937.0","","household goods"
"Wilhelm Bursch Metallwaren GmbH","Dresdner Str. 76,  Berlin","1914","1939.0","","metals and metal goods"
"Roth & Co","Dresdner Str. 78,  Berlin","1924","1938.0","1940.0","textiles and clothing"
"N. Moses","Dresdner Str. 79,  Berlin","1901","1940.0","1941.0","leather and shoes"
"L. Reimann","Dresdner Str. 81,  Berlin","1901","1937.0","","machines, motor vehicles & technical articles"
"Karl Samuelsdorff","Dresdner Str. 82/83,  Berlin","1923","1939.0","","textiles and clothing"
"Wilhelm Michaelis jr.","Dresdner Str. 88/89,  Berlin","1903","1938.0","","textiles and clothing"
"Adolph Greiffenhagen","Dresdner Str. 94,  Berlin","1901","1939.0","","paper and paper goods"
"Baron & Co","Dresdner Str. 97,  Berlin","1920","1941.0","","publishing and printing"
"Jacob Weinstein","Dreysestr.  9,  Berlin","","","","leather and shoes"
"Mendel Gefen","Drontheimer Str.  25,  Berlin","","","","jewelry and precious metals"
"Josef Praschma Nachflg. R. Nachtlicht","Drontheimer Str. 21,  Berlin","1922","1936.0","","Nahrungs- und Genussmittel"
"Salomon Schipper","Droysenstr.  10,  Berlin","","","","Nahrungs- und Genussmittel"
"Marianne Singer","Droysenstr.  13,  Berlin","","","","textiles and clothing"
"S. Berschadsky","Droysenstr.  14,  Berlin","","","","electrical goods"
"C. Schiesser","Droysenstr.  18,  Berlin","","","","Nahrungs- und Genussmittel"
"Rudolf Schelonka","Droysenstr.  6,  Berlin","","","","construction materials and fuel"
"Moritz Freyer Agentur & Kommission in Getreide Futtermittel","Droysenstr. 15,  Berlin","1916","1936.0","","Nahrungs- und Genussmittel"
"Berthold Cohn, GmbH","Droysenstr. 17,  Berlin","1920","1938.0","","Nahrungs- und Genussmittel"
"Rudolf Cohn","Droysenstr. 17,  Berlin","1904","1938.0","","Nahrungs- und Genussmittel"
"L. Levy","Droysenstr. 5,  Berlin","1901","1939.0","","Nahrungs- und Genussmittel"
"Emil Löwenberg","Droysenstr. 7,  Berlin","1922","1935.0","","banks and insurance"
"Julius Schlesinger","Droysenstr. 8,  Berlin","1921","1937.0","","banks and insurance"
"Elwinn Lachmann, Diplom","Duisburger Str.  19,  Berlin","","","",""
"Helmuth Bernhard Automobilmaterial engros","Duisburger Str. 12,  Berlin","1934","1938.0","1940.0","machines, motor vehicles & technical articles"
"Fritz Rosenthal","Duisburger Str. 15,  Berlin","1920","1937.0","","banks and insurance"
"Ludwig Salomon","Duisburger Str. 16,  Berlin","1926","1935.0","","Nahrungs- und Genussmittel"
"Leo Licht","Duisburger Str. 19,  Berlin","1919","1938.0","","leather and shoes"
"Julius Sand","Duisburger Str. 2,  Berlin","1927","1934.0","","Nahrungs- und Genussmittel"
"Elias Assiran","Duisburger Str. 21,  Berlin","1919","1936.0","","Nahrungs- und Genussmittel"
"Epstein & Co GmbH","Duisburger Str. 3,  Berlin","1926","1939.0","","textiles and clothing"
"Fritz Cohn Damenwäsche-Fabrikation","Duisburger Str. 4,  Berlin","1922","1939.0","","textiles and clothing"
"Gustav Schweitzer","Duisburger Str. 5,  Berlin","1930","1939.0","","books and art"
"Emil Barstz","Duisburger Str. 9,  Berlin","1922","1940.0","","machines, motor vehicles & technical articles"
"Berthold Pommer","Dunckerstr.  90,  Berlin","","","","Nahrungs- und Genussmittel"
"Redlich, Kurt","Düppelstr. 2,  Berlin","","","",""
"Brauerei Friedrich Mönnig vorm. Oskar Walter","Düppelstr. 20/21,  Berlin","1907","1936.0","","Nahrungs- und Genussmittel"
"Ewald Buck","Düppelstr. 39a,  Berlin","1908","1939.0","","metals and metal goods"
"Kaufhaus Moses Wolfenstein","Düppelstr. 41,  Berlin","1903","1939.0","1939.0","retail shops and department stores"
"Max Bernstein, Vertreter der Würtembergischen Metallwarenfabrik","Düsseldorfer Str.  14,  Berlin","","","","jewelry and precious metals"
"Burkhardt Kaffee","Düsseldorfer Str.  16,  Berlin","","","","Nahrungs- und Genussmittel"
"Selma Lewin, Zigarettengeschäft","Düsseldorfer Str.  6,  Berlin","","","",""
"Radio-Windmüller","Düsseldorfer Str.  7,  Berlin","","","","electrical goods"
"Kurt Pinner, Vertreter der Firma Pototzky & Co","Düsseldorfer Str.  73,  Berlin","","","","banks and insurance"
"Martin Brann","Düsseldorfer Str. 19,  Berlin","1929","1939.0","","Nahrungs- und Genussmittel"
"Kurt Seldis","Düsseldorfer Str. 19/20,  Berlin","1922","1938.0","","banks and insurance"
"Grundstücksgesellschaft Wilmersdorf-Friedenau GmbH","Düsseldorfer Str. 2,  Berlin","1909","1939.0","","real estate"
"Heymann Mahler","Düsseldorfer Str. 32,  Berlin","1922","1936.0","","other"
"James Magnus","Düsseldorfer Str. 4,  Berlin","1913","1939.0","","Möbel"
"Jacob Goldbaum","Düsseldorfer Str. 44/45,  Berlin","1921","1934.0","","Nahrungs- und Genussmittel"
"Bernhard Nafthal","Düsseldorfer Str. 47,  Berlin","1936","1938.0","1941.0","construction materials and fuel"
"Brunn & Panke","Düsseldorfer Str. 47,  Berlin","1933","1939.0","1939.0","machines, motor vehicles & technical articles"
"Emil Frankenstein Bank-KG","Düsseldorfer Str. 48,  Berlin","1909","1935.0","","banks and insurance"
"Gerorg A. Müller","Düsseldorfer Str. 52,  Berlin","1930","1939.0","","construction materials and fuel"
"Leopold Klein","Düsseldorfer Str. 6,  Berlin","1935","1939.0","","textiles and clothing"
"Atlantic-Lichtspiele Leopold Guttmann","Düsseldorfer Str. 6,  Berlin","1927","","","restaurants"
"Henry Michaelis","Düsseldorfer Str. 70,  Berlin","1901","1939.0","","chemicals and pharmaceuticals"
"Samuel Grundleger","Düsseldorfer Str. 74,  Berlin","1916","1937.0","","Nahrungs- und Genussmittel"
"Monopol-Drogerie, B. Oschinsky","Düsseldorferstr.  25,  Berlin","","","","chemicals and pharmaceuticals"
"Kurt Herzog","Eberswalder Str.  35,  Berlin","","","","Nahrungs- und Genussmittel"
"Adolf Fraenkel & Co","Eberswalder Str. 25/26,  Berlin","1924","1939.0","1939.0","textiles and clothing"
"Max Berliner, Bankkommission","Eberswalder Str. 26,  Berlin","1924","1935.0","","banks and insurance"
"Nathan Pollak & Co","Eberswalder Str. 35,  Berlin","1904","1940.0","","paper and paper goods"
"Hans Hauptz","Ebertystr.  44,  Berlin","","","","books and art"
"Cohn, Edmund (oder Eduard)","Edisonstr. 25,  Berlin","","","",""
"Erwin Lindenstrauß Schuhwaren","Edisonstr. 60,  Berlin","1934","1940.0","","leather and shoes"
"Osram GmbH","Ehrenbergstr. 11/14,  Berlin","1918","1933.0","","electrical goods"
"Studiengesellschaft für elektrische Beleuchtung mbH","Ehrenbergstr. 11/14,  Berlin","1916","","","machines, motor vehicles & technical articles"
"Loewenthal, Anny","Ehrwalder Str. 1,  Berlin","","","","photography and film"
"R. G. Brandt & Co GmbH","Eichendorffstr. 18,  Berlin","1926","1938.0","","leather and shoes"
"Braun & Co","Eichhornstr. 2,  Berlin","1900","1932.0","1936.0","banks and insurance"
"Kaufmann & Co","Eilslebener Str. 15,  Berlin","1904","1937.0","","banks and insurance"
"Marta Seeligmann, in Firma Fleckweg","Eisenacher Str.  107,  Berlin","","","","chemicals and pharmaceuticals"
"Paul Mikolajewicz","Eisenacher Str.  113,  Berlin","","","","textiles and clothing"
"Rosa Lang-Nathanson","Eisenacher Str.  2,  Berlin","","","","textiles and clothing"
"Betty Wolffsohn","Eisenacher Str.  22,  Berlin","","","","publishing and printing"
"Odenheimer & Fink Weingroßhandlung und Likörfabrik","Eisenacher Str. 103,  Berlin","1921","1938.0","","Nahrungs- und Genussmittel"
"Fraenkel, Hugo","Eisenacher Str. 103,  Berlin","","","",""
"Katz, Regina geb. Hirsch","Eisenacher Str. 104,  Berlin","","","","textiles and clothing"
"Mendel Anhang","Eisenacher Str. 106,  Berlin","1921","1938.0","","Nahrungs- und Genussmittel"
"S. Croner & Co","Eisenacher Str. 14,  Berlin","1911","1939.0","","textiles and clothing"
"Dr. Franz Steiner & Co GmbH","Eisenacher Str. 16,  Berlin","1913","1939.0","","chemicals and pharmaceuticals"
"Siegfried Zempelburg","Eisenacher Str. 2,  Berlin","1927","1937.0","","Nahrungs- und Genussmittel"
"Siegfried Waldstein","Eisenacher Str. 22,  Berlin","1919","1937.0","1940.0","metals and metal goods"
"Paul Buttermilch","Eisenacher Str. 29,  Berlin","1927","1938.0","1939.0","banks and insurance"
